ecli,drug,relevant_countries
ECLI:NL:RBOBR:2021:5911,crystal,[' Netherlands']
ECLI:NL:CRVB:2019:2295,drugs,[' Netherlands']
ECLI:NL:RBOBR:2014:5570,drugs,"['Brazil', 'Netherlands']"
ECLI:NL:RBOBR:2014:5570,harddrugs,[' Belgium']
ECLI:NL:GHSHE:2006:AZ4219,drugs,[' United Kingdom']
ECLI:NL:HR:2005:AS3767,cocaïne,[' Germany']
ECLI:NL:PHR:2005:AS3767,drugs,"['Morocco', 'Turkey']"
ECLI:NL:RBROT:2013:5584,drugs,[' Netherlands']
ECLI:NL:RBZWB:2021:1203,drugs,[' Netherlands']
ECLI:NL:RBLIM:2018:3022,cocaïne,"['Netherlands', 'Dominican Republic', ' Netherlands']"
ECLI:NL:RBOBR:2021:5908,crystal,[' Netherlands']
ECLI:NL:RBOBR:2021:5908,drugs,[' Netherlands']
ECLI:NL:RBOBR:2019:6377,drugs,[' Netherlands']
ECLI:NL:RBOBR:2019:6377,formamide,['Germany']
ECLI:NL:RBOBR:2019:6377,mdma,['Germany']
ECLI:NL:RBOBR:2019:6373,drugs,[' Netherlands']
ECLI:NL:RBOBR:2019:6373,formamide,['Germany']
ECLI:NL:RBOBR:2019:6373,mdma,['Germany']
ECLI:NL:RBOBR:2018:19,drugs,"[' Netherlands', ' Belgium']"
ECLI:NL:RBOBR:2018:19,amfetamine,[' Netherlands']
ECLI:NL:RBSGR:2003:AM2562,hasj,[' Netherlands']
ECLI:NL:RBOBR:2021:4723,cocaïne,"['Netherlands', 'Belgium', ' Belgium', 'Brazil', ' Netherlands']"
ECLI:NL:RBOBR:2021:4723,drugs,[' Belgium']
ECLI:NL:RBDHA:2017:6510,harddrugs,[' Netherlands']
ECLI:NL:RBDHA:2017:6511,harddrugs,[' Netherlands']
ECLI:NL:CRVB:2013:CA1971,drugs,[' Netherlands']
ECLI:NL:CRVB:2013:CA1971,heroïne,"[' Netherlands', ' Belgium']"
ECLI:NL:CRVB:2013:CA1971,cocaïne,"[' Netherlands', ' Belgium']"
ECLI:NL:PHR:2021:747,drugs,[' Netherlands']
ECLI:NL:RBZWB:2021:1988,drugs,[' Germany']
ECLI:NL:RBZWB:2021:1988,amfetamine,[' Germany']
ECLI:NL:RBLIM:2019:4834,drugs,[' Netherlands']
ECLI:NL:RBOBR:2018:74,drugs,[' Netherlands']
ECLI:NL:GHAMS:2021:1722,cocaïne,"['Peru', 'South America', ' Netherlands', 'Sweden']"
ECLI:NL:GHAMS:2021:1722,amfetamine,['Sweden']
ECLI:NL:RBDHA:2017:6512,harddrugs,[' Netherlands']
ECLI:NL:RBUTR:2009:BK1429,drugs,[' Netherlands']
ECLI:NL:RBUTR:2009:BK1499,drugs,[' Netherlands']
