,ecli,drug,relevant_countries,volume,volume_type,general_volume_type,general_volume,countries_present,verdict_date,general_drug_type,semi_general_drug_type
2193,ECLI:NL:HR:2004:AO4255,drugs,['Netherlands'],N/A,N/A,undefined,0,"{'United States': ['Verenigde Staten van Amerika', 'Detroit Michigan', 'Verenigde Staten', 'Bloomington', 'Indiana', 'New York', 'Washington D.C.']}",2004-03-30,unspecified,unspecified
2194,ECLI:NL:RBZWO:2004:AO5084,cocaïne,['Netherlands'],N/A,N/A,undefined,0,"{'South Africa': ['Ermelo'], 'Colombia': ['Colombia'], 'Venezuela': ['Venezuela']}",2004-04-03,harddrugs,cocaine
2195,ECLI:NL:RBZWO:2004:AO5087,cocaïne,['Netherlands'],N/A,N/A,undefined,0,"{'South Africa': ['Ermelo'], 'Colombia': ['Colombia'], 'Venezuela': ['Venezuela']}",2004-04-03,harddrugs,cocaine
2196,ECLI:NL:GHARN:2004:AO7555,cocaïne,"['Germany', 'Italy']",N/A,N/A,undefined,0,"{'Germany': ['Duitsland', 'Düsseldorf', 'Hannover'], 'Albania': ['Albanië'], 'Italy': ['Italië']}",2004-02-13,harddrugs,cocaine
2197,ECLI:NL:RBOVE:2013:3609,cocaïne,"['Suriname', 'Netherlands']",100,bolletjes,units,100,"{'Suriname': ['Suriname', 'Paramaribo'], 'Brazil': ['Brazilië']}",2013-06-25,harddrugs,cocaine
2198,ECLI:NL:PHR:2021:606,amfetamine,[],N/A,N/A,undefined,0,"{'Germany': ['München', 'Essen', 'Augsburg', 'Duitsland'], 'Belgium': ['Antwerpen', 'België', 'Schoten', 'provincie Antwerpen', 'Merksem', 'Sint Michielskaai', 'Goudbloemstraat'], 'Croatia': ['Kroatië'], 'Australia': ['2072'], 'Bosnia and Herzegovina': ['Bosnie', 'Bosnië', 'Zenica', 'Bosnië-Herzegovina'], 'Norway': ['Bergen']}",2021-06-22,harddrugs,amphetamines
2199,ECLI:NL:PHR:2021:606,drugs,"['Belgium', 'Netherlands', 'Germany']",N/A,N/A,undefined,0,"{'Germany': ['München', 'Essen', 'Augsburg', 'Duitsland'], 'Belgium': ['Antwerpen', 'België', 'Schoten', 'provincie Antwerpen', 'Merksem', 'Sint Michielskaai', 'Goudbloemstraat'], 'Croatia': ['Kroatië'], 'Australia': ['2072'], 'Bosnia and Herzegovina': ['Bosnie', 'Bosnië', 'Zenica', 'Bosnië-Herzegovina'], 'Norway': ['Bergen']}",2021-06-22,unspecified,unspecified
2200,ECLI:NL:GHAMS:2021:828,drugs,[],N/A,N/A,undefined,0,"{'Brazil': ['Brazilië'], 'Spain': ['Spanje'], 'Singapore': ['Singapore'], 'United Kingdom': ['Londen']}",2021-03-23,unspecified,unspecified
2201,ECLI:NL:GHAMS:2018:2976,cocaïne,"['Suriname', 'Netherlands']",N/A,N/A,undefined,0,{'Suriname': ['Suriname']},2018-08-15,harddrugs,cocaine
2202,ECLI:NL:RBAMS:2018:4931,cocaïne,"['United Kingdom', 'Norway']",13,kilogram,kg,13,"{'United Kingdom': ['Engeland'], 'Romania': ['Roemenië'], 'Germany': ['Duitsland', 'Emmerik'], 'Norway': ['Noorwegen']}",2018-09-05,harddrugs,cocaine
2203,ECLI:NL:RBNHO:2015:1335,drugs,['Aruba'],N/A,N/A,undefined,0,"{'Curaçao': ['Curaçao'], 'Aruba': ['Aruba']}",2015-01-23,unspecified,unspecified
2204,ECLI:NL:RBNHO:2014:4273,drugs,[],N/A,N/A,undefined,0,"{'China': ['China'], 'Aruba': ['Aruba'], 'Belgium': ['Brussel']}",2014-04-17,unspecified,unspecified
2205,ECLI:NL:RBHAA:2012:BX4052,cocaïne,"['Panama', 'Netherlands']",N/A,N/A,undefined,0,"{'Costa Rica': ['Costa Rica'], 'Panama': ['Panama']}",2012-07-31,harddrugs,cocaine
2206,ECLI:NL:RBBRE:2010:BM0590,drugs,[],N/A,N/A,undefined,0,"{'United States': ['Ipswich'], 'United Kingdom': ['Engeland', 'Verenigd Koninkrijk van Groot-Brittannië']}",2010-09-04,unspecified,unspecified
2207,ECLI:NL:RBBRE:2010:BM0590,heroïne,[],144,kilo,kg,144,"{'United States': ['Ipswich'], 'United Kingdom': ['Engeland', 'Verenigd Koninkrijk van Groot-Brittannië']}",2010-09-04,harddrugs,heroin
2208,ECLI:NL:RBLEE:2006:AV6315,cocaïne,[],N/A,N/A,undefined,0,"{'United States': ['D.C.'], 'Sweden': ['Zweden']}",2006-03-21,harddrugs,cocaine
2209,ECLI:NL:RBLEE:2006:AV6315,amfetamine,[],N/A,N/A,undefined,0,"{'United States': ['D.C.'], 'Sweden': ['Zweden']}",2006-03-21,harddrugs,amphetamines
2210,ECLI:NL:RBLEE:2006:AV6315,xtc,[],N/A,N/A,undefined,0,"{'United States': ['D.C.'], 'Sweden': ['Zweden']}",2006-03-21,harddrugs,amphetamines
2211,ECLI:NL:RBLEE:2006:AV6315,drugs,['Sweden'],N/A,N/A,undefined,0,"{'United States': ['D.C.'], 'Sweden': ['Zweden']}",2006-03-21,unspecified,unspecified
2212,ECLI:NL:RBARN:2001:AB2115,cocaïne,['Netherlands'],N/A,N/A,undefined,0,"{'United States': ['New York', 'Verenigde Staten']}",2001-06-13,harddrugs,cocaine
2213,ECLI:NL:RBARN:2001:AB2115,heroïne,['Netherlands'],N/A,N/A,undefined,0,"{'United States': ['New York', 'Verenigde Staten']}",2001-06-13,harddrugs,heroin
2214,ECLI:NL:PHR:2015:2561,cocaïne,"['Suriname', 'Curaçao', 'Netherlands']",twee,kilo,kg,2,"{'Suriname': ['Paramaribo', 'Suriname'], 'Colombia': ['Colombia'], 'Curaçao': ['Curaçao'], 'Belgium': ['België']}",2015-12-15,harddrugs,cocaine
2215,ECLI:NL:PHR:2015:2561,drugs,['Netherlands'],N/A,N/A,undefined,0,"{'Suriname': ['Paramaribo', 'Suriname'], 'Colombia': ['Colombia'], 'Curaçao': ['Curaçao'], 'Belgium': ['België']}",2015-12-15,unspecified,unspecified
2216,ECLI:NL:PHR:2015:2561,amfetamine,[],N/A,N/A,undefined,0,"{'Suriname': ['Paramaribo', 'Suriname'], 'Colombia': ['Colombia'], 'Curaçao': ['Curaçao'], 'Belgium': ['België']}",2015-12-15,harddrugs,amphetamines
2217,ECLI:NL:RBZWB:2014:669,hennep,"['United Kingdom', 'Ireland']",2980,kilogram,kg,2980,"{'United Kingdom': ['Engeland', 'Verenigd Koninkrijk'], 'Ireland': ['Ierland'], 'United States': ['Hertsig']}",2014-06-02,softdrugs,cannabis
2218,ECLI:NL:RBZWB:2014:669,drugs,"['United Kingdom', 'Ireland']",N/A,N/A,undefined,0,"{'United Kingdom': ['Engeland', 'Verenigd Koninkrijk'], 'Ireland': ['Ierland'], 'United States': ['Hertsig']}",2014-06-02,unspecified,unspecified
2219,ECLI:NL:RBZWB:2014:673,hennep,"['United Kingdom', 'Ireland']",N/A,N/A,undefined,0,"{'United Kingdom': ['Engeland'], 'Ireland': ['Ierland'], 'United States': ['Hertsig']}",2014-06-02,softdrugs,cannabis
2220,ECLI:NL:RBZWB:2014:673,drugs,"['United Kingdom', 'Ireland']",N/A,N/A,undefined,0,"{'United Kingdom': ['Engeland'], 'Ireland': ['Ierland'], 'United States': ['Hertsig']}",2014-06-02,unspecified,unspecified
2221,ECLI:NL:PHR:2005:AS9307,harddrugs,[],N/A,N/A,undefined,0,"{'Germany': ['Celle', 'Duitsland', 'Bondsrepubliek Duitsland', 'Friedrichshafen', 'Augsburg']}",2005-04-19,harddrugs,unspecified
2222,ECLI:NL:PHR:2005:AS9307,drugs,[],N/A,N/A,undefined,0,"{'Germany': ['Celle', 'Duitsland', 'Bondsrepubliek Duitsland', 'Friedrichshafen', 'Augsburg']}",2005-04-19,unspecified,unspecified
2223,ECLI:NL:RBLIM:2014:3170,olie,[],5,liter,liter,5,"{'Germany': ['Aken', 'Bondsrepubliek Duitsland', 'Duitsland', 'Jülich'], 'Belgium': ['België', 'Plombières', 'mechelen'], 'Australia': ['2570']}",2014-01-04,unspecified,unspecified
2224,ECLI:NL:RBLIM:2014:3170,amfetamineolie,[],5,liter,liter,5,"{'Germany': ['Aken', 'Bondsrepubliek Duitsland', 'Duitsland', 'Jülich'], 'Belgium': ['België', 'Plombières', 'mechelen'], 'Australia': ['2570']}",2014-01-04,harddrugs,amphetamines
2225,ECLI:NL:RBLIM:2014:3170,amfetamine,[],N/A,N/A,undefined,0,"{'Germany': ['Aken', 'Bondsrepubliek Duitsland', 'Duitsland', 'Jülich'], 'Belgium': ['België', 'Plombières', 'mechelen'], 'Australia': ['2570']}",2014-01-04,harddrugs,amphetamines
2226,ECLI:NL:RBLIM:2014:3170,methanol,[],N/A,N/A,undefined,0,"{'Germany': ['Aken', 'Bondsrepubliek Duitsland', 'Duitsland', 'Jülich'], 'Belgium': ['België', 'Plombières', 'mechelen'], 'Australia': ['2570']}",2014-01-04,precursor,precursor
